Scaffold,coverage,gc,genus,length
sg4i_contig00001,5.1,0.6475091874234381,thermomicrobium,9796
sg4i_contig00712,4.8,0.7084967320261438,not assigned,1530
sg4i_contig01325,1.6,0.6833493743984601,not assigned,1039
sg4i_contig02024,4.5,0.7040983606557377,gemmatimonas,1220
sg4i_contig02749,4.5,0.7045454545454546,conexibacter,3212
sg4i_contig03492,5.5,0.6967302452316076,not assigned,3670
sg4i_contig04665,2.9,0.5766974015088013,not assigned,1193
sg4i_contig07313,5.0,0.7425187032418953,not assigned,1604
sg4i_contig10699,5.2,0.6865353911655135,conexibacter,1879
sg4i_contig12019,53.9,0.684995340167754,not assigned,1073
sg4i_contig13114,7.2,0.6799597855227882,not assigned,2984
sg4i_contig14540,4.3,0.6335403726708074,not assigned,3542
sg4i_contig16408,51.8,0.6127689104788342,not assigned,1441
sg4i_contig17896,76.9,0.6313309776207303,not assigned,1698
sg4i_contig18598,87.7,0.6264780894968699,rhodothermus,8626
sg4i_contig19098,97.0,0.6949186184994045,thermus,5038
sg4i_contig19598,94.2,0.6910592255125285,thermus,3512
sg4i_contig20098,64.2,0.6748654880860876,not assigned,2602
sg4i_contig20598,14.2,0.7154471544715447,not assigned,1230
sg4i_contig00729,1.4,0.4827586206896552,not assigned,986
sg4i_contig02934,2.8,0.6969365426695843,not assigned,914
sg4i_contig04313,2.7,0.6421052631578947,not assigned,855
sg4i_contig10320,3.1,0.7672090112640801,not assigned,799
sg4i_contig09415,3.1,0.6013333333333334,not assigned,750
sg4i_contig01614,3.6,0.614950634696756,not assigned,709
sg4i_contig03244,1.9,0.7001499250374813,not assigned,667
sg4i_contig04727,3.1,0.7444444444444445,not assigned,630
sg4i_contig09420,3.3,0.7734899328859061,not assigned,596
sg4i_contig05733,2.7,0.7279151943462897,not assigned,566
sg4i_contig12925,2.9,0.7229357798165138,gemmatimonas,545
sg4i_contig17175,14.1,0.7566037735849057,not assigned,530
sg4i_contig05599,2.1,0.6576402321083172,not assigned,517
sg4i_contig06305,2.6,0.6240157480314961,not assigned,508
sg4i_contig04480,2.1,0.6967871485943775,not assigned,498
sg4i_contig07926,2.3,0.7122448979591837,not assigned,490
sg4i_contig04833,1.9,0.6882845188284519,not assigned,478
sg4i_contig08970,2.6,0.631236442516269,not assigned,461
sg4i_contig00013,4.3,0.5995085995085995,not assigned,407
sg4i_contig14383,1.0,0.75,not assigned,316
sg4i_contig17113,1.6,0.6351351351351351,not assigned,222
sg4i_contig18029,2.5,0.6717557251908397,not assigned,131
sg4i_contig00002,34.1,0.716622803897859,gemmatimonas,14059
sg4i_contig00714,4.3,0.6534822104466314,sphaerobacter,5284
sg4i_contig01326,2.7,0.687458081824279,gemmatimonas,1491
sg4i_contig02026,5.7,0.5988435128297795,hyphomicrobium,2767
sg4i_contig02750,2.0,0.6514558887440244,gemmatimonas,2301
sg4i_contig03493,4.9,0.6773480662983425,sphaerobacter,1810
sg4i_contig04674,4.6,0.7210834553440703,conexibacter,1366
sg4i_contig07324,3.8,0.5555555555555556,not assigned,1305
sg4i_contig10700,3.9,0.6303317535545023,rhodothermus,1055
sg4i_contig12020,64.9,0.6187335092348285,not assigned,1516
sg4i_contig13115,2.5,0.7178265014299333,not assigned,1049
sg4i_contig14541,5.3,0.59139599170698,hyphomicrobium,11576
sg4i_contig16411,5.3,0.6796291527169714,not assigned,7766
sg4i_contig17897,10.0,0.6755952380952381,thermus,1008
sg4i_contig18599,6.2,0.6830533318299695,sphaerobacter,8869
sg4i_contig19099,69.4,0.6478484011054086,thermus,5066
sg4i_contig19599,70.0,0.6436912560524067,sulfurihydrogenibium,3511
sg4i_contig20099,62.3,0.7170799860286413,thermus,2863
sg4i_contig20599,56.7,0.5788402848423194,not assigned,1966
sg4i_contig04812,2.5,0.4127789046653144,not assigned,986
sg4i_contig02914,2.3,0.7078774617067833,not assigned,914
sg4i_contig16851,26.5,0.6444444444444445,not assigned,855
sg4i_contig05754,3.6,0.4142678347934919,not assigned,799
sg4i_contig05822,3.6,0.64,thermobacillus,750
sg4i_contig11580,2.9,0.7122708039492243,gemmatimonas,709
sg4i_contig08633,2.2,0.4482758620689655,not assigned,667
sg4i_contig04855,4.1,0.7492063492063492,not assigned,630
sg4i_contig14542,4.0,0.7332214765100671,not assigned,596
sg4i_contig04424,1.9,0.7438162544169611,not assigned,566
sg4i_contig14157,4.4,0.5669724770642202,not assigned,545
sg4i_contig08134,2.2,0.7566037735849057,not assigned,530
